age_Ma,loess_d13C,loess_d18O,loess_long_d13C,loess_long_d18O
0.646,-1.065,5.098,-0.62355614,4.4837604
0.648,-0.994,5.059,-0.62564874,4.4836121
0.650,-0.928,5.027,-0.62764722,4.4834299
0.652,-0.890,5.000,-0.62954777,4.483212
0.654,-0.979,4.973,-0.63134652,4.4829574
0.656,-1.081,4.948,-0.63303947,4.4826655
0.658,-1.091,4.921,-0.63462275,4.4823351
0.660,-1.086,4.897,-0.63609254,4.4819651
0.662,-1.084,4.882,-0.63744479,4.481554
0.664,-1.080,4.876,-0.63867569,4.481101
0.666,-1.117,4.883,-0.63990235,4.480618
0.668,-1.162,4.886,-0.64124173,4.4801178
0.670,-1.213,4.891,-0.64268988,4.4796
0.672,-1.101,4.842,-0.64424288,4.4790659
0.674,-0.952,4.771,-0.64589673,4.4785151
0.676,-0.804,4.694,-0.6476475,4.4779477
0.678,-0.697,4.631,-0.64949125,4.477365
0.680,-0.799,4.638,-0.65142399,4.4767661
0.682,-0.904,4.638,-0.65344173,4.4761519
0.684,-0.826,4.553,-0.65554059,4.475523
0.686,-0.688,4.446,-0.65771657,4.4748788
0.688,-0.446,4.323,-0.65996569,4.4742208
0.690,-0.232,4.210,-0.66228402,4.4735479
0.692,-0.266,4.182,-0.66466761,4.4728613
0.694,-0.364,4.170,-0.66711247,4.4721608
0.696,-0.429,4.104,-0.66961467,4.4714475
0.698,-0.463,4.033,-0.67217022,4.4707208
0.700,-0.376,3.985,-0.67477524,4.4699817
0.702,-0.264,3.951,-0.67742568,4.4692297
0.704,-0.187,3.940,-0.68011761,4.4684658
0.706,-0.161,3.960,-0.68284708,4.4676895
0.708,-0.235,4.023,-0.68561012,4.4669023
0.710,-0.335,4.098,-0.68840277,4.4661036
0.712,-0.425,4.169,-0.69122112,4.4652934
0.714,-0.550,4.252,-0.6940611,4.4644728
0.716,-0.769,4.346,-0.6969189,4.4636421
0.718,-0.971,4.449,-0.69979048,4.462801
0.720,-1.089,4.592,-0.70267183,4.4619498
0.722,-1.124,4.714,-0.70555907,4.4610891
0.724,-0.949,4.747,-0.70844829,4.4602194
0.726,-0.713,4.729,-0.71133536,4.4593406
0.728,-0.504,4.630,-0.71421653,4.4584532
0.730,-0.336,4.512,-0.71708763,4.4575572
0.732,-0.291,4.429,-0.71994489,4.4566531
0.734,-0.312,4.376,-0.72278422,4.4557409
0.736,-0.408,4.382,-0.72560173,4.4548216
0.738,-0.524,4.419,-0.72839344,4.4538951
0.740,-0.672,4.487,-0.7311554,4.4529614
0.742,-0.863,4.603,-0.73388362,4.4520211
0.744,-1.042,4.722,-0.73657417,4.4510746
0.746,-1.157,4.808,-0.73922312,4.4501219
0.748,-1.234,4.860,-0.74182647,4.4491634
0.750,-1.250,4.830,-0.74438024,4.4481993
0.752,-1.239,4.777,-0.74688053,4.4472303
0.754,-1.203,4.749,-0.74932337,4.4462562
0.756,-1.184,4.721,-0.75170475,4.4452772
0.758,-1.267,4.695,-0.75402075,4.444294
0.760,-1.364,4.665,-0.75626743,4.4433069
0.762,-1.468,4.620,-0.75844079,4.4423161
0.764,-1.534,4.564,-0.76053691,4.4413218
0.766,-1.452,4.506,-0.76255178,4.4403243
0.768,-1.290,4.446,-0.76448154,4.4393239
0.770,-1.069,4.385,-0.76632214,4.4383206
0.772,-0.848,4.318,-0.76806962,4.4373155
0.774,-0.685,4.232,-0.76972008,4.4363079
0.776,-0.542,4.136,-0.7712695,4.4352989
0.778,-0.442,4.040,-0.77271396,4.4342885
0.780,-0.369,3.957,-0.77404952,4.4332767
0.782,-0.276,3.887,-0.77527219,4.4322643
0.784,-0.232,3.837,-0.77637798,4.431251
0.786,-0.329,3.794,-0.777363,4.4302378
0.788,-0.478,3.806,-0.77822328,4.4292245
0.790,-0.664,3.950,-0.7789548,4.4282112
0.792,-0.861,4.173,-0.77955365,4.4271989
0.794,-1.025,4.518,-0.78001589,4.4261875
0.796,-1.153,4.842,-0.78033757,4.4251771
0.798,-1.226,5.002,-0.78052855,4.4241409
0.800,-1.256,5.078,-0.78060341,4.4230533
0.802,-1.224,5.026,-0.78056526,4.4219155
0.804,-1.127,4.919,-0.78041703,4.4207292
0.806,-1.015,4.790,-0.78016186,4.4194951
0.808,-0.923,4.700,-0.77980274,4.4182158
0.810,-0.853,4.612,-0.77934265,4.4168921
0.812,-0.861,4.534,-0.77878469,4.415525
0.814,-0.871,4.454,-0.77813184,4.4141169
0.816,-0.796,4.341,-0.7773872,4.4126687
0.818,-0.704,4.225,-0.77655369,4.4111819
0.820,-0.628,4.122,-0.77563441,4.4096584
0.822,-0.593,4.057,-0.77463239,4.4080992
0.824,-0.663,4.089,-0.77355069,4.4065061
0.826,-0.717,4.148,-0.77239227,4.40488
0.828,-0.667,4.206,-0.77116019,4.403223
0.830,-0.603,4.249,-0.76985747,4.4015365
0.832,-0.513,4.200,-0.76848716,4.3998213
0.834,-0.430,4.150,-0.76705229,4.3980794
0.836,-0.443,4.180,-0.76555592,4.3963122
0.838,-0.482,4.232,-0.76400101,4.3945212
0.840,-0.512,4.262,-0.76239061,4.3927083
0.842,-0.495,4.176,-0.76072776,4.3908739
0.844,-0.475,4.059,-0.75901556,4.38902
0.846,-0.440,3.930,-0.75725693,4.3871484
0.848,-0.404,3.821,-0.75545496,4.3852601
0.850,-0.410,3.805,-0.75361264,4.383357
0.852,-0.438,3.828,-0.75173306,4.3814397
0.854,-0.452,3.891,-0.74981916,4.3795109
0.856,-0.481,3.950,-0.74787408,4.3775711
0.858,-0.574,3.912,-0.74590081,4.3756223
0.860,-0.695,3.876,-0.74390233,4.3736653
0.862,-0.804,3.890,-0.74188173,4.3717022
0.864,-0.930,3.988,-0.73984206,4.3697348
0.866,-1.136,4.313,-0.73778623,4.3677635
0.868,-1.326,4.663,-0.73571742,4.3657904
0.870,-1.400,4.930,-0.73363858,4.3638167
0.872,-1.454,5.022,-0.73155272,4.3618441
0.874,-1.480,5.032,-0.72946292,4.3598742
0.876,-1.474,4.991,-0.72737217,4.3579078
0.878,-1.454,4.928,-0.72528356,4.3559475
