Sample ID,Depth (m),Age (Ma),O. umbonatus Mg/Ca,O. umbonatus Mg/Ca_adj,O. umbonatus B/Ca,C. mundulus d18O,C. mundulus d13C,interpolated d18O,interpolated d18O-BWT,C. wuellerstorfi Mg/Ca [mmol/mol],C. mundulus Mg/Ca [mmol/mol],BWT (O. umbonatus Mg-temp),BWT (C. wuellerstorfi Mg-temp),BWT (C. mundulus Mg-temp)
"130-806B-16H-2,66-70",141.66,4.8111,,,,,,,,,,,,
"130-806B-16H-3,66-70",143.16,4.8492,,,,,,,,1.5063,,,5.0678,
"130-806B-16H-3,66-70",143.16,4.8492,,,,,,,,,1.8423,,,6.562
"130-806B-16H-3,66-70",143.16,4.8492,2.0204,2.0204,,,,,,,,6.0993,,
"130-806B-16H-4,66-70",144.66,4.8873,,,,,,,,,,,,
"130-806B-16H-5,66-70",146.16,4.9254,,,,,,,,,,,,
"130-806B-16H-6,66-70",147.66,4.9635,,,,,,,,,,,,
"130-806B-16H-7,46-50",148.96,4.9965,,,,,,,,,,,,
"130-806B-17H-1,66-70",149.66,5.0143,,,,,,,,,,,,
"130-806B-17H-2,66-70",151.16,5.0524,,,,,,,,,,,,
"130-806B-17H-3,66-70",152.66,5.0905,,,,,,,,1.4542,,,4.7447,
"130-806B-17H-3,66-70",152.66,5.0905,1.8939,1.8939,,,,,,,,5.532,,
"130-806B-17H-3,66-70",152.66,5.0905,2.0224,2.0224,,,,,,,,6.1081,,
"130-806B-17H-3,66-70",152.66,5.0905,,,,,,,,,1.6391,,,5.4898
"130-806B-17H-3,66-70",152.66,5.0905,,,,,,,,1.6162,,,5.7136,
"130-806B-17H-4,66-70",154.16,5.1286,,,,,,,,,,,,
"130-806B-17H-5,66-70",155.66,5.1667,,,,,,,,,,,,
"130-806B-17H-6,66-70",157.16,5.2048,,,,,,,,,,,,
"130-806B-17H-7,46-50",158.46,5.2379,,,,,,,,,,,,
"130-806B-18H-1,66-70",159.16,5.2556,,,,,,,,,,,,
"130-806B-18H-2,66-70",160.66,5.2937,,,,,,,,,,,,
"130-806B-18H-3,66-70",162.16,5.3319,2.1303,2.1303,,,,,,,,6.5641,,
"130-806B-18H-3,66-70",162.16,5.3319,,,,,,,,,1.7627,,,6.1569
"130-806B-18H-3,66-70",162.16,5.3319,,,,,,,,1.4172,,,4.5084,
"130-806B-18H-4,66-70",163.66,5.37,,,,,,,,,,,,
"130-806B-18H-5,66-70",165.16,5.4081,,,,,,,,,,,,
