Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
ODP0757,4.9,0.771,,,Cibicidoides wuellerstorfi/Cibicidoides mundulus,1641,BillupsSchrag03
ODP0757,4.9,0.771,2.21,2.47,Cibicidoides wuellerstorfi/Cibicidoides mundulus,1641,BillupsSchrag03
DSDP607,31.6,0.775,1.44,1.98,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP607,31.8,0.782,1.61,2.22,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
ODP1088,9.59,0.783,2.33,3.02,Cibicidoides wuellerstorfi,2085,BillupsScheiderich10
DSDP607,32,0.786,1.66,2.29,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP607,32.1,0.789,1.51,2.08,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP607,32.3,0.794,1.16,1.59,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP607,32.6,0.802,1.27,1.75,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP607,32.7,0.805,1.17,1.61,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP607,33,0.812,1.21,1.66,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP573,11.47,0.815,0.46,1.49,Nuttallides umbonifera,4288,LearElderfieldOthers00
DSDP607,33.3,0.822,1.3,1.79,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
DSDP607,33.5,0.827,1.29,1.77,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
ODP1088,10.34,0.829,,,Cibicidoides wuellerstorfi,2086,BillupsScheiderich10
DSDP607,33.6,0.833,1.49,2.05,Cibicidoides wuellerstorfi,3419,SosdianRosenthal09
ODP0806,19.43,0.839,1.52,1.57,Oridorsalis umbonatus,2533,LearRosenthalWright03
ODP0806,19.43,0.839,1.24,1.56,Cibicidoides wuellerstorfi,2533,LearRosenthalWright03
DSDP607,33.9,0.845,1.38,1.9,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,34.1,0.851,1.26,1.73,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
ODP0926,31.18,0.856,0.8,1.13,Cibicidoides wuellerstorfi,3611,LearRosenthalWright03
ODP0926,31.18,0.856,1.08,1.26,Oridorsalis umbonatus,3611,LearRosenthalWright03
DSDP607,34.4,0.863,1.27,1.75,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,34.7,0.869,1.65,2.28,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,34.8,0.873,1.25,1.72,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
ODP1088,11.09,0.876,2,2.56,Cibicidoides wuellerstorfi,2086,BillupsScheiderich10
DSDP607,35.1,0.881,1.26,1.73,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,35.4,0.888,1.06,1.45,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,36,0.902,1.64,2.26,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,36.3,0.908,1.36,1.87,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,36.5,0.911,1.35,1.86,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
DSDP607,36.6,0.913,1.45,2,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
ODP0926,33.43,0.915,1.03,1.45,Cibicidoides wuellerstorfi,3612,LearRosenthalWright03
ODP0926,33.43,0.915,1.75,1.94,Oridorsalis umbonatus,3612,LearRosenthalWright03
DSDP607,36.8,0.916,1.24,1.7,Cibicidoides wuellerstorfi,3418,SosdianRosenthal09
